iter	Logloss
0	0.6711747278
1	0.6538964122
2	0.6360715398
3	0.6207658614
4	0.60762971
5	0.5950117436
6	0.5829576829
7	0.5717676939
8	0.5610736252
9	0.5514722329
10	0.543247434
11	0.5366028464
12	0.5297064305
13	0.5231816074
14	0.5173093604
15	0.511771533
16	0.5076804213
17	0.5042959003
18	0.4999840474
19	0.496492548
20	0.4934510929
21	0.4898733915
22	0.4876974397
23	0.4848079293
24	0.4822167264
25	0.4796162319
26	0.4772081279
27	0.4751813562
28	0.4730239558
29	0.4710643833
30	0.4689581412
31	0.4669452981
32	0.4649474555
33	0.4635271652
34	0.4618753152
35	0.4602617635
36	0.4588836185
37	0.4574454256
38	0.456491245
39	0.4551591066
40	0.4540450155
41	0.4528389571
42	0.4516356104
43	0.4506509773
44	0.4495713056
45	0.448571404
46	0.4476319983
47	0.4466630498
48	0.4459510323
49	0.4451137599
50	0.4443813114
51	0.4435033817
52	0.4428690045
53	0.4420401633
54	0.4411848402
55	0.4402929996
56	0.4396006371
57	0.4389730302
58	0.4383154045
59	0.4375562273
60	0.4369641505
61	0.4363110843
62	0.4355564065
63	0.434874383
64	0.4343799437
65	0.4336551436
66	0.4330223213
67	0.4323537468
68	0.4317296273
69	0.4312032827
70	0.4308989595
71	0.4305186462
72	0.4299661865
73	0.4293813173
74	0.4288545779
75	0.428465636
76	0.4279946919
77	0.4275710625
78	0.4271038597
79	0.4265972902
80	0.4260841479
81	0.4255905372
82	0.4252380353
83	0.4249085701
84	0.4245707584
85	0.4241405244
86	0.4238465612
87	0.4235126213
88	0.4232185664
89	0.4227659057
90	0.4223432743
91	0.4219375758
92	0.4215978599
93	0.421105956
94	0.4207333228
95	0.4205218837
96	0.4201082653
97	0.41960884
98	0.4192251874
99	0.4187273382
100	0.4181811129
101	0.4178882745
102	0.4175115016
103	0.4170439109
104	0.416656048
105	0.4163241392
106	0.4160205706
107	0.4158460686
108	0.4154684141
109	0.4151233031
110	0.4148480112
111	0.4146346574
112	0.4141186306
113	0.4138464488
114	0.4134616432
115	0.4132018843
116	0.4128446078
117	0.4124254497
118	0.4121258587
119	0.4118876697
120	0.4114375232
121	0.4111517549
122	0.410548567
123	0.4102548965
124	0.4100208684
125	0.4096977187
126	0.4095123842
127	0.4091169012
128	0.408797052
129	0.4084480128
130	0.4082572338
131	0.4079460838
132	0.4075466514
133	0.407332021
134	0.4070479171
135	0.4068483296
136	0.406562988
137	0.406245304
138	0.4058411358
139	0.4055456987
140	0.4053217133
141	0.4051063812
142	0.4048980663
143	0.4046590628
144	0.4044383673
145	0.4042500778
146	0.4039883654
147	0.4036156124
148	0.4033762774
149	0.4031201998
150	0.4027158801
151	0.4024222237
152	0.4021206685
153	0.4018683711
154	0.4016068738
155	0.4013735862
156	0.401147337
157	0.4008558421
158	0.4006966863
159	0.4004177201
160	0.4001486908
161	0.3999733672
162	0.3996388842
163	0.3994256079
164	0.3991247792
165	0.3989021161
166	0.3985496423
167	0.3982922954
168	0.3980395784
169	0.3978669065
170	0.3976325681
171	0.3973381641
172	0.3970882646
173	0.3969077892
174	0.3966509429
175	0.3964029828
176	0.396128911
177	0.3960046576
178	0.3958270526
179	0.395402517
180	0.395179794
181	0.3950351344
182	0.3947984158
183	0.3946006937
184	0.3944143154
185	0.3942233742
186	0.394135656
187	0.3939685309
188	0.3937144104
189	0.3934099109
190	0.3931558116
191	0.3928750963
192	0.392596384
193	0.3924678781
194	0.3921909923
195	0.3919469992
196	0.3916726981
197	0.3913536776
198	0.391087434
199	0.3908835304
200	0.3906330244
201	0.3903866016
202	0.3902206754
203	0.3900831494
204	0.3898229955
205	0.3895809383
206	0.3892959563
207	0.3890194268
208	0.3890107558
209	0.3888174062
210	0.3884982869
211	0.3883704791
212	0.3882303825
213	0.388040485
214	0.3879266763
215	0.3875745517
216	0.3873578444
217	0.3871458763
218	0.3868788041
219	0.3866317537
220	0.3864329102
221	0.386185412
222	0.3858986705
223	0.3857235796
224	0.3854758522
225	0.3853467362
226	0.385069586
227	0.3848994001
228	0.3847004332
229	0.3845319364
230	0.3843955176
231	0.3841547826
232	0.3839528326
233	0.3839106907
234	0.3837047455
235	0.383442289
236	0.3831559424
237	0.3828623248
238	0.3824894519
239	0.3823410757
240	0.3820722897
241	0.3819403033
242	0.3817786015
243	0.3816675256
244	0.381329601
245	0.3810191281
246	0.3808917328
247	0.380762712
248	0.3804927553
249	0.3801827267
250	0.3798927587
251	0.3796246321
252	0.3793677541
253	0.3791486666
254	0.3789716681
255	0.378787804
256	0.3785535608
257	0.3783174029
258	0.3780289159
259	0.3778148921
260	0.3775602956
261	0.3771802539
262	0.3769291836
263	0.3767027651
264	0.3764494028
265	0.3761661275
266	0.3758567794
267	0.3756717728
268	0.3754506578
269	0.3751390705
270	0.3749850665
271	0.3747251595
272	0.3745262279
273	0.3743189744
274	0.3741021542
275	0.373842078
276	0.3735742335
277	0.3732934865
278	0.3730503467
279	0.3727532875
280	0.3725546662
281	0.3723189984
282	0.3721234837
283	0.3718955102
284	0.3716382655
285	0.3713523526
286	0.3711284765
287	0.3708584846
288	0.37055889
289	0.370338452
290	0.3701826037
291	0.3698276721
292	0.369561753
293	0.3693394884
294	0.3690236591
295	0.3687665484
296	0.3685492839
297	0.3682943701
298	0.3679129496
299	0.3676010415
300	0.367256142
301	0.367035094
302	0.3666551051
303	0.3662880187
304	0.3660543821
305	0.3657911957
306	0.3654806346
307	0.3651748938
308	0.36488878
309	0.3646137596
310	0.3644218769
311	0.3641286189
312	0.3638740154
313	0.3635284636
314	0.3630914382
315	0.3627053384
316	0.3623903272
317	0.3621074645
318	0.3618596243
319	0.3615771142
320	0.3612897345
321	0.3610452124
322	0.3607526984
323	0.3605370067
324	0.3603532378
325	0.360120451
326	0.3598977244
327	0.3595382688
328	0.3591835171
329	0.3589693346
330	0.3586913592
331	0.3584385223
332	0.3581391816
333	0.3579242868
334	0.3575909499
335	0.3573407329
336	0.3571885977
337	0.3569430037
338	0.3566536739
339	0.3564212644
340	0.3562232461
341	0.3558739988
342	0.3556562583
343	0.3553717419
344	0.3551836357
345	0.3548518468
346	0.3545740901
347	0.3543961007
348	0.3541939884
349	0.3539263414
350	0.3536914317
351	0.3534540643
352	0.3531552737
353	0.3529355233
354	0.3526821257
355	0.3523790684
356	0.3521147889
357	0.3517324657
358	0.3515099895
359	0.3513346307
360	0.3510741278
361	0.3506457768
362	0.3503081414
363	0.3500804676
364	0.3498070058
365	0.3495898542
366	0.3493093436
367	0.349044112
368	0.3487197598
369	0.3484422394
370	0.3481695816
371	0.3479491153
372	0.3477306097
373	0.3474309234
374	0.3472063456
375	0.3469213214
376	0.3466562943
377	0.3463511495
378	0.3461503983
379	0.3458860412
380	0.3456309052
381	0.3453975542
382	0.3451545096
383	0.3450338741
384	0.3448362472
385	0.3445770137
386	0.3443658884
387	0.3440652572
388	0.3438741009
389	0.3437322622
390	0.3435116514
391	0.3432286794
392	0.3430209182
393	0.3427982163
394	0.3425326356
395	0.3423222685
396	0.3420174586
397	0.3418262918
398	0.3415664095
399	0.3412891676
400	0.3410776509
401	0.3408079481
402	0.3405930674
403	0.3403122781
404	0.3400692688
405	0.3398353817
406	0.3395682601
407	0.3393634362
408	0.3390883805
409	0.3388257372
410	0.3385839444
411	0.3383662745
412	0.3380501243
413	0.3377723429
414	0.3375609884
415	0.3373395595
416	0.3371082607
417	0.3368545387
418	0.3366802554
419	0.3364094594
420	0.3362103938
421	0.3360479692
422	0.3358030803
423	0.3356598312
424	0.335372046
425	0.3351102454
426	0.3348630963
427	0.3346252881
428	0.3343337262
429	0.3341162679
430	0.3338628562
431	0.3336588292
432	0.3333678386
433	0.3331838616
434	0.3329184502
435	0.3326380559
436	0.332404585
437	0.3321979345
438	0.3319088339
439	0.3317158933
440	0.3315054063
441	0.3312108366
442	0.3310121906
443	0.3307480063
444	0.3305536764
445	0.3303806977
446	0.3301508377
447	0.329892112
448	0.3295919285
449	0.3293537959
450	0.3291210514
451	0.3289104903
452	0.3286957471
453	0.3284423531
454	0.3282865894
455	0.3281415102
456	0.3278780065
457	0.3277182688
458	0.3275632456
459	0.3272997454
460	0.3271139772
461	0.3269379378
462	0.3267313155
463	0.3264773008
464	0.3262556885
465	0.3260106446
466	0.32577857
467	0.3255185643
468	0.325335818
469	0.3251345485
470	0.324899593
471	0.3247325455
472	0.3245043427
473	0.3243370589
474	0.3241578741
475	0.3239494394
476	0.3237568831
477	0.3235685196
478	0.3234126361
479	0.3231881394
480	0.3229433352
481	0.3226966797
482	0.3224679939
483	0.3222703246
484	0.3221137535
485	0.3219906144
486	0.3217779023
487	0.3216486981
488	0.3214537124
489	0.3212651549
490	0.3211479046
491	0.3209806948
492	0.3207650489
493	0.3205497063
494	0.3203259325
495	0.3201325829
496	0.3199964885
497	0.3197862341
498	0.3195878138
499	0.3193419482
500	0.3191768789
501	0.3189795165
502	0.3187016187
503	0.3184504885
504	0.3182679608
505	0.3180590535
506	0.3179043195
507	0.3177094219
508	0.3174541836
509	0.3172928168
510	0.3171375715
511	0.3169529035
512	0.3167950206
513	0.3166396095
514	0.3164635983
515	0.3162801609
516	0.316111516
517	0.3159125174
518	0.3155968256
519	0.3154097103
520	0.3152174362
521	0.3149720996
522	0.3147631782
523	0.3145664469
524	0.3143524795
525	0.3141658614
526	0.3139401552
527	0.3137281061
528	0.3134958905
529	0.3133748848
530	0.3132030239
531	0.3130152387
532	0.3128558642
533	0.3126861473
534	0.3124852763
535	0.3123469886
536	0.3121533286
537	0.3119277177
538	0.3117775642
539	0.3116289235
540	0.3114373899
541	0.3112568652
542	0.3110723875
543	0.3109039612
544	0.3107062567
545	0.3105420901
546	0.3104259188
547	0.3103105092
548	0.3101081078
549	0.3099379819
550	0.3097693792
551	0.3095188485
552	0.30933271
553	0.3091493431
554	0.3089015346
555	0.3087720589
556	0.3085729968
557	0.3083985054
558	0.3081151138
559	0.3079591174
560	0.3077950178
561	0.3076366412
562	0.3074678023
563	0.3072854122
564	0.3070962235
565	0.3068030361
566	0.3065732148
567	0.3064218448
568	0.3062561019
569	0.3060936173
570	0.305981808
571	0.3058164918
572	0.3056697941
573	0.3055024962
574	0.3053369931
575	0.3052074575
576	0.3049363441
577	0.3047519793
578	0.3045685454
579	0.3043245734
580	0.304125998
581	0.3038848822
582	0.3036534494
583	0.3034848821
584	0.3032723498
585	0.3031060957
586	0.3029037295
587	0.3027455293
588	0.3025490025
589	0.3024052844
590	0.3022562135
591	0.3021013103
592	0.3019340723
593	0.3017561147
594	0.3015734248
595	0.3013965885
596	0.3011677263
597	0.3010147061
598	0.3008715239
599	0.30062063
600	0.3003954527
601	0.3001545732
602	0.299920665
603	0.2997512055
604	0.2995746584
605	0.2994263174
606	0.2992561703
607	0.2990713577
608	0.2989047685
609	0.2986709168
610	0.2984875992
611	0.2983360529
612	0.2982121451
613	0.2980322375
614	0.2978657682
615	0.2977149448
616	0.29757671
617	0.2974337289
618	0.2972711596
619	0.2971259782
620	0.2969577246
621	0.2967313414
622	0.2965392824
623	0.296346772
624	0.2961869885
625	0.2960371912
626	0.2958983146
627	0.2956826793
628	0.295513442
629	0.2953403364
630	0.2951822877
631	0.2950197114
632	0.294838016
633	0.2946261396
634	0.2945131102
635	0.2943460662
636	0.2941772908
637	0.2939502234
638	0.2938131805
639	0.2936545394
640	0.2935090054
641	0.2933037935
642	0.2931716415
643	0.2930378779
644	0.292878447
645	0.2927304198
646	0.2925424265
647	0.292244916
648	0.2920748147
649	0.2918749522
650	0.2917431633
651	0.2915360085
652	0.2914065892
653	0.2911850475
654	0.2910114482
655	0.290810482
656	0.2906234196
657	0.2904847229
658	0.2902915037
659	0.2901325453
660	0.2899944692
661	0.2898325347
662	0.2896730403
663	0.2895577365
664	0.2893987957
665	0.2891964084
666	0.289000005
667	0.288859048
668	0.2887062957
669	0.2885402955
670	0.2883896589
671	0.2882427249
672	0.2880613327
673	0.2878581344
674	0.2877160736
675	0.2875111404
676	0.2873179424
677	0.2871551721
678	0.2869595058
679	0.2867941085
680	0.2866581552
681	0.2864673409
682	0.286236162
683	0.2860820063
684	0.2859228187
685	0.2857816642
686	0.2856132837
687	0.2854422163
688	0.2852764593
689	0.2851395081
690	0.2850004411
691	0.2848718751
692	0.2846810362
693	0.2845554182
694	0.2844054199
695	0.2841962199
696	0.2840545753
697	0.2838972812
698	0.283719856
699	0.2835380759
700	0.2833885889
701	0.2832091291
702	0.2830694626
703	0.2829309105
704	0.2828004051
705	0.2826062868
706	0.2824715147
707	0.2823589296
708	0.2822372856
709	0.2821295456
710	0.2820403463
711	0.2819153207
712	0.2817924708
713	0.2816569547
714	0.2815374758
715	0.2814398983
716	0.2812445987
717	0.2811140828
718	0.2810259132
719	0.280889103
720	0.2807122173
721	0.2805467107
722	0.2803951644
723	0.280261563
724	0.2800879285
725	0.2799525394
726	0.279809932
727	0.279683838
728	0.279594875
729	0.2794324292
730	0.2792642427
731	0.2791158418
732	0.2789478351
733	0.2788254153
734	0.2787131688
735	0.2785475317
736	0.278403267
737	0.2782655682
738	0.2781309372
739	0.2779931008
740	0.2778323687
741	0.2776649545
742	0.2775322911
743	0.2774015107
744	0.2772306266
745	0.2771145787
746	0.2769473196
747	0.2767823561
748	0.2766319558
749	0.2764898703
750	0.2763461205
751	0.276167916
752	0.2760132032
753	0.2758828741
754	0.2757277523
755	0.2755612477
756	0.275432777
757	0.2752844854
758	0.2750992849
759	0.2749058542
760	0.2747813787
761	0.2746279847
762	0.2745228328
763	0.2744035867
764	0.274218968
765	0.2740910861
766	0.2739641881
767	0.2738424384
768	0.2736715296
769	0.2735426252
770	0.2734384924
771	0.2733058537
772	0.2731896754
773	0.2730756375
774	0.2729374838
775	0.2728116436
776	0.2726401706
777	0.2725086251
778	0.2723708028
779	0.2722015337
780	0.2720671178
781	0.2718941039
782	0.2717263053
783	0.2715759755
784	0.2713361257
785	0.2712056203
786	0.271125219
787	0.2709758978
788	0.270882862
789	0.270754155
790	0.270649712
791	0.2705095025
792	0.2703553644
793	0.2701809541
794	0.2700333819
795	0.2699250705
796	0.2697391013
797	0.2695734995
798	0.269390115
799	0.2692513759
800	0.2691003092
801	0.2689470527
802	0.2687417457
803	0.2686292099
804	0.2684857281
805	0.2683716725
806	0.2681890849
807	0.2680037469
808	0.267838942
809	0.2676528071
810	0.2675112611
811	0.2673855796
812	0.2672574333
813	0.2670764008
814	0.2669273652
815	0.2667021174
816	0.2665573132
817	0.2664170438
818	0.266208468
819	0.2660685405
820	0.2659308488
821	0.2657527677
822	0.2655743516
823	0.2654415225
824	0.2653083301
825	0.2651332111
826	0.2649861078
827	0.2648413178
828	0.2647391421
829	0.2646430244
830	0.2644556306
831	0.2643278475
832	0.2641616956
833	0.2640482254
834	0.2639205481
835	0.263767087
836	0.263587941
837	0.2634368708
838	0.2633213695
839	0.2631898239
840	0.2630652532
841	0.262898724
842	0.2627798763
843	0.2626741532
844	0.2625414158
845	0.2624437149
846	0.2623353224
847	0.2621760008
848	0.2620218204
849	0.2618716599
850	0.2617193167
851	0.2615474982
852	0.2614011707
853	0.2612691033
854	0.2610534856
855	0.2609453611
856	0.2608047038
857	0.2606538063
858	0.2604694697
859	0.2603555094
860	0.2602272467
861	0.2600494901
862	0.259892129
863	0.2597721036
864	0.2596579846
865	0.2595325323
866	0.259457579
867	0.2593800339
868	0.2592453606
869	0.2591210226
870	0.2589838033
871	0.2588507979
872	0.2587526632
873	0.2586416649
874	0.2584819026
875	0.2583308887
876	0.2582231627
877	0.2580289281
878	0.2579041317
879	0.2578181413
880	0.2576640068
881	0.2575554521
882	0.2573954782
883	0.257282618
884	0.257198017
885	0.2570762919
886	0.2569437484
887	0.256772688
888	0.2566668521
889	0.2565602757
890	0.2563793912
891	0.2562495735
892	0.2561394638
893	0.2560632411
